HZ,fft
120.2731967,(-2.1473493576049805-3.9757838249206543j)
120.6063635,(-4.038662910461426-3.494671583175659j)
120.9395302,(-1.063720941543579-4.580379486083984j)
121.272697,(-2.0754811763763428+0.14747639000415802j)
121.6058637,(0.05383492261171341-4.033461570739746j)
121.9390305,(-2.340216875076294-6.424590110778809j)
122.2721972,(-1.8291070461273193-5.918908596038818j)
122.605364,(-1.427309513092041-4.856159210205078j)
122.9385307,(-0.5151786208152771-4.970200061798096j)
123.2716975,(-0.767533540725708-9.75539779663086j)
123.6048642,(-1.751072883605957-6.960097789764404j)
123.938031,(-1.988517165184021-12.910867691040039j)
124.2711977,(-7.212120056152344-13.411189079284668j)
124.6043645,(-3.1470584869384766-27.035335540771484j)
124.9375312,(-25.96575927734375-59.34223937988281j)
125.270698,(23.941524505615234+153.645263671875j)
125.6038647,(14.911373138427734+36.450416564941406j)
125.9370315,(2.4804329872131348+17.42218780517578j)
126.2701982,(4.8234944343566895+16.321643829345703j)
126.603365,(0.8386712074279785+8.091485977172852j)
126.9365317,(1.9191696643829346+10.147287368774414j)
127.2696985,(2.32584285736084+4.521167755126953j)
127.6028652,(0.46406322717666626+6.558511734008789j)
127.936032,(1.6613258123397827+4.270014762878418j)
128.2691987,(-1.9195890426635742+6.42608118057251j)
128.6023655,(1.6645781993865967+2.5626156330108643j)
128.9355322,(-0.07821644842624664+0.8145917057991028j)
129.268699,(1.081611156463623+2.733085870742798j)
129.6018657,(2.6740829944610596+2.5284998416900635j)
129.9350325,(2.1495399475097656+3.782214403152466j)
130.2681992,(1.0213103294372559+0.23217180371284485j)
130.601366,(1.8057167530059814+3.0871918201446533j)
130.9345327,(2.141213893890381-0.07871831208467484j)
131.2676995,(-0.7251890301704407+2.049898624420166j)
131.6008662,(4.759998798370361-1.285222053527832j)
131.934033,(-5.000003337860107-1.6055381298065186j)
132.2671997,(17.108482360839844-12.293191909790039j)
132.6003665,(0.21923160552978516+20.301223754882812j)
132.9335332,(-7.380720138549805+0.5751452445983887j)
133.2667,(-0.762241542339325+7.1770477294921875j)
133.5998667,(-1.1706180572509766+0.1714130938053131j)
133.9330335,(-0.03339635580778122+6.82122802734375j)
134.2662002,(0.5723229050636292+3.6528282165527344j)
134.599367,(-2.4154701232910156+4.940104007720947j)
134.9325337,(-0.2437068372964859+2.5295677185058594j)
135.2657005,(-1.5750519037246704+4.58016300201416j)
135.5988672,(1.6633542776107788+5.373932838439941j)
135.932034,(-0.6766350269317627+0.7639949917793274j)
136.2652007,(-0.6175035238265991+3.6486141681671143j)
136.5983675,(-0.7203842997550964+2.210310459136963j)
136.9315342,(-2.041093349456787+2.746007204055786j)
137.264701,(-0.4590159058570862-0.47235026955604553j)
137.5978677,(-3.143568277359009+2.4830093383789062j)
137.9310345,(-0.8470048904418945+0.3286411762237549j)
138.2642012,(-3.476543426513672+2.3245129585266113j)
138.597368,(1.1009876728057861-0.30525413155555725j)
138.9305347,(-4.765176773071289+1.6919631958007812j)
139.2637015,(3.114933967590332+4.40907096862793j)
139.5968682,(-22.698150634765625+11.09066390991211j)
139.930035,(-1.5449780225753784-13.425336837768555j)
140.2632017,(4.101635932922363+4.287524223327637j)
140.5963685,(1.2331867218017578-3.2917230129241943j)
140.9295352,(0.45726877450942993+1.5822219848632812j)
141.262702,(-1.1354703903198242-2.0203752517700195j)
141.5958687,(-0.7506693601608276+0.8636574745178223j)
141.9290355,(1.767862319946289-0.0059898048639297485j)
142.2622022,(-1.0040111541748047+2.2519371509552j)
142.595369,(1.1108709573745728+1.0864691734313965j)
142.9285357,(-2.3194968700408936-1.7873811721801758j)
143.2617025,(-0.6862434148788452+0.2552739381790161j)
143.5948692,(0.5684431195259094-2.3228180408477783j)
143.928036,(1.5990891456604004-2.2168173789978027j)
144.2612027,(2.4795007705688477-1.0483510494232178j)
144.5943695,(0.2736474573612213+2.364475727081299j)
144.9275362,(1.359071969985962+1.0094550848007202j)
145.260703,(-1.3344552516937256+1.553859829902649j)
145.5938697,(0.3117232918739319-0.5250236392021179j)
145.9270365,(-3.3882369995117188-0.5868850946426392j)
146.2602032,(2.4351248741149902+2.002659320831299j)
146.59337,(-5.994518280029297-4.33382511138916j)
146.9265367,(22.56024169921875-3.7835330963134766j)
147.2597035,(3.8950467109680176+13.429435729980469j)
147.5928702,(1.378166913986206-2.5007364749908447j)
147.926037,(0.2071496546268463+3.2275140285491943j)
148.2592037,(2.5989739894866943-0.7169609665870667j)
148.5923705,(0.26692071557044983+2.9099159240722656j)
148.9255372,(1.0098609924316406+2.076932191848755j)
149.258704,(-1.2655723094940186+2.345059871673584j)
149.5918707,(-0.5912435054779053+1.0246752500534058j)
149.9250375,(-1.373060941696167+0.025875277817249298j)
150.2582042,(-0.4992271661758423+2.2340617179870605j)
150.591371,(1.1385703086853027+0.6850850582122803j)
150.9245377,(-0.2871624529361725+0.04374261945486069j)
151.2577045,(1.2315208911895752+3.685502529144287j)
151.5908712,(-3.176825523376465+4.1779303550720215j)
151.924038,(1.1619470119476318+0.43540069460868835j)
152.2572047,(-0.17061355710029602+1.8598661422729492j)
152.5903715,(2.7974817752838135+2.2712385654449463j)
152.9235382,(-2.310183048248291+2.9843974113464355j)
153.256705,(2.332380771636963+3.1411852836608887j)
153.5898717,(-1.2083858251571655-0.7303323149681091j)
153.9230385,(7.215851783752441+8.049698829650879j)
154.2562052,(-15.327164649963379-0.4996475577354431j)
154.589372,(-1.6982309818267822-11.640572547912598j)
154.9225387,(-2.5110621452331543-1.6106250286102295j)
155.2557055,(-0.1248343363404274-3.227226734161377j)
155.5888722,(-0.6646290421485901+0.4454914629459381j)
155.922039,(-0.29242363572120667-0.7559128999710083j)
156.2552057,(0.6864750981330872-0.7433638572692871j)
156.5883725,(0.12362822890281677+0.7764339447021484j)
156.9215392,(-0.6988603472709656+0.23233714699745178j)
157.254706,(-1.3118956089019775+2.000791072845459j)
157.5878727,(-1.3408973217010498-2.5449893474578857j)
157.9210395,(-1.6984918117523193-1.3860807418823242j)
158.2542062,(-1.4137389659881592-0.142213374376297j)
158.587373,(-1.8979995250701904-4.551235198974609j)
158.9205397,(5.943884372711182-1.2683780193328857j)
159.2537065,(-0.4901796579360962-0.5491855144500732j)
159.5868732,(-0.1263045370578766+0.03318352252244949j)
159.92004,(-2.172168731689453-1.5609272718429565j)
160.2532067,(0.8505024909973145-1.5683616399765015j)
160.5863735,(-0.927649736404419-5.28369140625j)
160.9195402,(-0.4636090099811554-1.4552273750305176j)
161.252707,(-3.4167957305908203-13.685134887695312j)
161.5858737,(9.54056167602539-1.2179235219955444j)
161.9190405,(-0.4939807057380676+7.009006500244141j)
162.2522072,(3.552778720855713+0.37054556608200073j)
162.585374,(0.8266942501068115+2.5910913944244385j)
162.9185407,(3.4772746562957764-0.9611976146697998j)
163.2517075,(8.134057998657227-4.2587127685546875j)
163.5848742,(-5.058137893676758+7.312099456787109j)
163.918041,(-3.201256275177002+2.4682650566101074j)
164.2512077,(-1.1645569801330566+1.4594656229019165j)
164.5843745,(-1.1385269165039062-0.04562169313430786j)
164.9175412,(-1.4654698371887207+0.9842475652694702j)
165.250708,(-0.10168259590864182+1.0454257726669312j)
165.5838747,(2.937002420425415-0.6700666546821594j)
165.9170415,(2.165818691253662+5.063365459442139j)
166.2502082,(-4.401610374450684+1.9671388864517212j)
166.583375,(-0.8019254207611084+0.9208462834358215j)
166.9165417,(-3.187380790710449+0.3792153000831604j)
167.2497085,(-1.479315996170044+1.214822769165039j)
167.5828752,(-3.2939839363098145-0.5196199417114258j)
167.916042,(-2.171755313873291+1.8593156337738037j)
168.2492087,(-0.5086017847061157-0.6514736413955688j)
168.5823755,(-0.4254523813724518+10.401636123657227j)
168.9155422,(-6.251653671264648+4.501220703125j)
169.248709,(1.591975450515747-0.8522301316261292j)
169.5818757,(-0.3432610332965851+1.6746478080749512j)
169.9150425,(-0.8437243700027466+0.20637156069278717j)
170.2482092,(-1.5489623546600342+1.1506792306900024j)
